Feature,Importance
cat__cp_asymptomatic,0.10484331355726456
num__chol,0.09899374092366274
num__thalch,0.09039670963001054
num__oldpeak,0.08877565067519104
num__age,0.08700734244735098
cat__exang_True,0.06814090918603392
cat__exang_False,0.056373024154747056
num__trestbps,0.05628827333921736
cat__cp_atypical angina,0.0377559399366677
cat__dataset_Switzerland,0.033442463165655814
cat__sex_Male,0.024890020780502686
cat__thal_normal,0.024492419854634576
cat__sex_Female,0.023629720679798204
num__ca,0.02342922467863725
cat__thal_reversable defect,0.019789613275793032
cat__dataset_VA Long Beach,0.01861043999651892
cat__dataset_Hungary,0.017134770339941482
cat__cp_non-anginal,0.013872219683352735
cat__slope_flat,0.013425762259592574
cat__restecg_normal,0.013135554929517387
cat__slope_upsloping,0.012718102434193728
cat__dataset_Cleveland,0.012307644780207794
cat__fbs_True,0.011381242599127074
cat__restecg_st-t abnormality,0.011092191436803261
cat__fbs_False,0.010811973869506147
cat__restecg_lv hypertrophy,0.008934647700199473
cat__cp_typical angina,0.007374260965754313
cat__slope_downsloping,0.005571092880765361
cat__thal_fixed defect,0.005381729839352308
